vehicle_class,month,premium,quota,bid_pressure,month_str
Category A,2010-01-01,19501.5,2303,1.3092246174823825,2010-01
Category A,2010-02-01,20164.5,2302,1.2247847209222278,2010-02
Category A,2010-03-01,24595.5,2294,1.7181227234860232,2010-03
Category A,2010-04-01,32000.5,1411,1.8576175838305908,2010-04
Category A,2010-05-01,26745.5,1505,1.5437881837577254,2010-05
Category A,2010-06-01,30780.5,1405,1.429201773476476,2010-06
Category A,2010-07-01,32831.5,1399,1.3295595749029225,2010-07
Category A,2010-08-01,30552.0,1228,1.4362882429722073,2010-08
Category A,2010-09-01,31545.0,1228,1.4457628873368427,2010-09
Category A,2010-10-01,32773.5,1248,1.2320411370024713,2010-10
Category A,2010-11-01,36500.5,1195,1.4025044397012936,2010-11
Category A,2010-12-01,46866.5,1215,1.4646742518280818,2010-12
Category A,2011-01-01,39506.0,1221,1.8693660819215556,2011-01
Category A,2011-02-01,40061.5,1034,1.866639476451153,2011-02
Category A,2011-03-01,43206.5,1059,1.7018750624188554,2011-03
Category A,2011-04-01,43606.0,1077,1.6470426576327433,2011-04
Category A,2011-05-01,45889.5,1034,1.6502564985238706,2011-05
Category A,2011-06-01,51817.0,1022,1.5609872855392157,2011-06
Category A,2011-07-01,55995.5,1024,1.5769321736476691,2011-07
Category A,2011-08-01,49051.0,1123,1.7455640070798257,2011-08
Category A,2011-09-01,49503.0,1096,1.5921532846715327,2011-09
Category A,2011-10-01,53200.5,1114,1.494788593903638,2011-10
Category A,2011-11-01,55442.0,1107,1.3751126229058668,2011-11
Category A,2011-12-01,51196.5,1115,1.486911635031892,2011-12
Category A,2012-01-01,47500.5,1211,1.5003915071790055,2012-01
Category A,2012-02-01,54909.0,1243,1.669508046476948,2012-02
Category A,2012-03-01,56526.0,1303,1.5224946489019642,2012-03
Category A,2012-04-01,61351.0,1266,1.5571887798778556,2012-04
Category A,2012-05-01,60300.5,1271,1.391185647425897,2012-05
Category A,2012-06-01,59003.5,1301,1.47819526823131,2012-06
Category A,2012-07-01,64038.5,1317,1.3540037755356367,2012-07
Category A,2012-08-01,70195.0,821,1.522357482185273,2012-08
Category A,2012-09-01,65500.0,801,1.2536004189578422,2012-09
Category A,2012-10-01,70000.5,794,1.2785053904678507,2012-10
Category A,2012-11-01,77246.0,791,1.4678941311852705,2012-11
Category A,2012-12-01,80206.0,790,1.2417721518987341,2012-12
Category A,2013-01-01,91555.0,819,1.2746287792951279,2013-01
Category A,2013-02-01,82705.0,668,1.2650217381560664,2013-02
Category A,2013-03-01,69449.0,673,3.1253885827327963,2013-03
Category A,2013-04-01,61763.0,674,2.9074132783810205,2013-04
Category A,2013-05-01,63919.0,669,2.6904761904761907,2013-05
Category A,2013-06-01,68602.0,683,2.405712472775291,2013-06
Category A,2013-07-01,73544.5,672,1.9888123161960105,2013-07
Category A,2013-08-01,75889.5,739,1.8249315108630364,2013-08
Category A,2013-09-01,80527.5,736,1.7157509968985378,2013-09
Category A,2013-10-01,80944.5,738,1.6413933673656764,2013-10
Category A,2013-11-01,73800.0,732,1.6944875776397517,2013-11
Category A,2013-12-01,73581.0,731,1.593829535587029,2013-12
Category A,2014-01-01,72329.5,732,1.839464882943144,2014-01
Category A,2014-02-01,74382.5,724,1.9599447513812156,2014-02
Category A,2014-03-01,77800.5,727,1.6394270793915084,2014-03
Category A,2014-04-01,74367.5,728,1.4421339452172666,2014-04
Category A,2014-05-01,62845.5,1022,1.6382407120179843,2014-05
Category A,2014-06-01,62544.5,1016,2.047252027605662,2014-06
Category A,2014-07-01,62440.0,1022,2.2167170272330026,2014-07
Category A,2014-08-01,65155.0,1149,1.8103408574458415,2014-08
Category A,2014-09-01,63420.5,1145,1.401763812104126,2014-09
Category A,2014-10-01,63935.0,1147,1.9084584980237156,2014-10
Category A,2014-11-01,66394.5,1404,1.666617289261632,2014-11
Category A,2014-12-01,66489.0,1414,1.3180005801798558,2014-12
Category A,2015-01-01,65505.5,1409,1.4250604448742745,2015-01
Category A,2015-02-01,59600.5,1980,1.30758007378869,2015-02
Category A,2015-03-01,63055.0,1974,2.2142857142857144,2015-03
Category A,2015-04-01,67675.0,1975,2.225243960966245,2015-04
Category A,2015-05-01,67589.5,2878,1.8207737881369357,2015-05
Category A,2015-06-01,63500.0,2861,1.2963364133218136,2015-06
Category A,2015-07-01,57294.5,2901,1.3299696726259798,2015-07
Category A,2015-08-01,56853.5,3444,1.4639907588336265,2015-08
Category A,2015-09-01,56244.0,3375,1.4307906221818927,2015-09
Category A,2015-10-01,56651.0,3377,1.314476347144716,2015-10
Category A,2015-11-01,57600.5,3326,1.2474685127973713,2015-11
Category A,2015-12-01,55645.0,3367,1.2203678101541233,2015-12
Category A,2016-01-01,48151.5,3318,1.642555756479807,2016-01
Category A,2016-02-01,44825.5,4087,1.4526698918690322,2016-02
Category A,2016-03-01,45252.0,4086,1.7994663790275842,2016-03
Category A,2016-04-01,46654.5,4167,1.690113949743233,2016-04
Category A,2016-05-01,47454.5,4435,1.5046112647860435,2016-05
Category A,2016-06-01,54447.0,4470,1.9031240840723487,2016-06
Category A,2016-07-01,52650.5,4494,1.4218468721872188,2016-07
Category A,2016-08-01,52918.5,4052,1.3609888096609375,2016-08
Category A,2016-09-01,50753.0,4075,1.3124548251117445,2016-09
Category A,2016-10-01,51249.0,4087,1.3503802683864243,2016-10
Category A,2016-11-01,51809.5,3775,1.412655219108245,2016-11
Category A,2016-12-01,48875.5,3688,1.325650759219089,2016-12
Category A,2017-01-01,50495.0,3723,1.2621003468456324,2017-01
Category A,2017-02-01,48915.5,4193,1.3390437598714606,2017-02
Category A,2017-03-01,51277.0,4157,1.4802415867565957,2017-03
Category A,2017-04-01,51800.0,4120,1.1960930695533158,2017-04
Category A,2017-05-01,48797.5,3825,1.2652702591863516,2017-05
Category A,2017-06-01,44001.0,3804,1.1952944890352357,2017-06
Category A,2017-07-01,43401.5,3811,1.229317684074154,2017-07
Category A,2017-08-01,44839.0,3634,1.252339020363236,2017-08
Category A,2017-09-01,39451.5,3635,1.5586693609420883,2017-09
Category A,2017-10-01,41689.0,3644,1.4263102720630432,2017-10
Category A,2017-11-01,46951.5,3369,1.825953167851849,2017-11
Category A,2017-12-01,40269.5,3367,1.2261386089705593,2017-12
Category A,2018-01-01,39145.0,3406,1.234309813872513,2018-01
Category A,2018-02-01,38405.0,3119,1.4307528184227687,2018-02
Category A,2018-03-01,38415.0,3139,1.4400368217211617,2018-03
Category A,2018-04-01,37755.0,3132,1.25,2018-04
Category A,2018-05-01,38471.0,2869,1.2690796922912444,2018-05
Category A,2018-06-01,35268.0,2887,1.2171109274621992,2018-06
Category A,2018-07-01,28849.5,2878,1.6407015967991578,2018-07
Category A,2018-08-01,32897.5,3367,1.9560399641501178,2018-08
Category A,2018-09-01,29104.5,3328,1.3662860576923077,2018-09
Category A,2018-10-01,27006.5,3342,1.1581261872222652,2018-10
Category A,2018-11-01,26599.5,3637,1.3967089534681891,2018-11
Category A,2018-12-01,24534.5,3768,1.301563635748939,2018-12
Category A,2019-01-01,26045.0,3633,1.533408795424997,2019-01
Category A,2019-02-01,25995.0,3312,1.3984487474018161,2019-02
Category A,2019-03-01,26484.0,3309,1.3348468409227903,2019-03
Category A,2019-04-01,31179.0,3309,1.3861961563078111,2019-04
Category A,2019-05-01,31852.0,2906,1.3044496559239125,2019-05
Category A,2019-06-01,28504.0,2848,1.279494382022472,2019-06
Category A,2019-07-01,27628.0,3054,1.2131357284114233,2019-07
Category A,2019-08-01,32321.0,2121,1.7672932571501736,2019-08
Category A,2019-09-01,31771.0,2112,1.472064393939394,2019-09
Category A,2019-10-01,33155.0,2117,1.4767493439960016,2019-10
Category A,2019-11-01,31000.0,2066,1.3416586300327369,2019-11
Category A,2019-12-01,32949.0,2059,1.2831167973430704,2019-12
Category A,2020-01-01,35165.0,2069,1.3726300937216755,2020-01
Category A,2020-02-01,31504.5,1964,1.4093686354378818,2020-02
Category A,2020-03-01,31954.5,1960,1.4576747508319485,2020-03
Category A,2020-07-01,33109.5,2593,2.1401919617147454,2020-07
Category A,2020-08-01,34355.0,2056,2.016458039191936,2020-08
Category A,2020-09-01,38135.0,2069,1.5838112858464384,2020-09
Category A,2020-10-01,36934.0,1828,1.4195299931050331,2020-10
Category A,2020-11-01,36840.0,1939,1.3526364897587464,2020-11
Category A,2020-12-01,40635.0,1947,1.5521630673580378,2020-12
Category A,2021-01-01,42055.0,1929,1.3421260553523862,2021-01
Category A,2021-02-01,41500.5,1788,1.2991872665502937,2021-02
Category A,2021-03-01,43292.5,1773,1.3316452088226987,2021-03
Category A,2021-04-01,47620.0,1773,1.411015816865385,2021-04
Category A,2021-05-01,44901.5,1667,1.3850097881160757,2021-05
Category A,2021-06-01,48165.5,1688,1.548216642794956,2021-06
Category A,2021-07-01,46005.5,1703,1.4042565520438404,2021-07
Category A,2021-08-01,45939.0,1611,1.3332930043308724,2021-08
Category A,2021-09-01,47500.0,1607,1.346576581600094,2021-09
Category A,2021-10-01,49855.0,1627,1.463872216580837,2021-10
Category A,2021-11-01,54355.0,1073,1.435340754328914,2021-11
Category A,2021-12-01,57905.5,1070,1.412100313041534,2021-12
Category A,2022-01-01,57748.5,1074,1.3693073633611137,2022-01
Category A,2022-02-01,61880.5,1078,1.572699234455031,2022-02
Category A,2022-03-01,70028.5,1074,1.6876059972323667,2022-03
Category A,2022-04-01,70847.5,1068,1.3736884188082146,2022-04
Category A,2022-05-01,69451.0,1237,1.3120627450980393,2022-05
Category A,2022-06-01,74395.0,1226,1.406234698005152,2022-06
Category A,2022-07-01,78450.0,1245,1.3933482331808937,2022-07
Category A,2022-08-01,83944.5,1105,1.3795544038734955,2022-08
Category A,2022-09-01,85000.0,1099,1.3490748837394173,2022-09
Category A,2022-10-01,80795.0,1123,1.2804844009693093,2022-10
Category A,2022-11-01,88912.0,919,1.424299043288813,2022-11
Category A,2022-12-01,88255.0,931,1.3257660385719694,2022-12
Category A,2023-01-01,83000.0,921,1.3853874883286648,2023-01
Category A,2023-02-01,86278.0,1017,1.3422218956422196,2023-02
Category A,2023-03-01,90751.5,1027,1.3960746387529865,2023-03
Category A,2023-04-01,100111.0,1022,1.4668294364336187,2023-04
Category A,2023-05-01,96500.5,1070,1.484601987936454,2023-05
Category A,2023-06-01,97103.5,1167,1.3989605423155322,2023-06
Category A,2023-07-01,96101.0,1169,1.2693631669535286,2023-07
Category A,2023-08-01,99749.5,1268,1.4646276172279276,2023-08
Category A,2023-09-01,103000.0,1296,1.3147572607437574,2023-09
Category A,2023-10-01,105000.0,1582,1.3067018836560669,2023-10
Category A,2023-11-01,90345.0,1849,1.3282490932490933,2023-11
Category A,2023-12-01,86510.0,1847,1.2987170978574913,2023-12
Category A,2024-01-01,73299.5,1847,1.6591108422094338,2024-01
Category A,2024-02-01,77900.5,1875,2.04799432476283,2024-02
Category A,2024-03-01,84244.5,1899,1.9955567537343237,2024-03
Category A,2024-04-01,91505.0,1911,1.728162393162393,2024-04
Category A,2024-05-01,93152.0,1951,1.5774614731425975,2024-05
Category A,2024-06-01,89544.5,1928,1.4886644886644886,2024-06
Category A,2024-07-01,91450.0,1940,1.428502876528737,2024-07
Category A,2024-08-01,94094.5,1991,1.446705103591955,2024-08
Category A,2024-09-01,97507.0,1973,1.3607648201239249,2024-09
Category A,2024-10-01,103349.5,2052,1.5152531445763429,2024-10
Category A,2024-11-01,94889.0,2081,1.2772749944579918,2024-11
Category A,2024-12-01,95000.0,2072,1.438722345673836,2024-12
Category A,2025-01-01,93650.0,2103,1.3619016127076953,2025-01
Category A,2025-02-01,88925.0,2287,1.6318438437336051,2025-02
Category A,2025-03-01,93616.0,2282,1.7461916378875957,2025-03
Category A,2025-04-01,98612.0,2277,1.8809920211822106,2025-04
Category A,2025-05-01,102755.0,2534,1.639700078926598,2025-05
Category A,2025-06-01,97561.5,2529,1.3198358194952622,2025-06
Category A,2025-07-01,101102.0,2506,1.5131683958499602,2025-07
Category A,2025-08-01,103266.5,2532,1.4523195104420399,2025-08
Category A,2025-09-01,113446.0,2547,1.714096374398816,2025-09
Category A,2025-10-01,125052.5,2538,1.7889987332025137,2025-10
Category A,2025-11-01,109501.0,2591,1.2614607230322785,2025-11
Category A,2025-12-01,107457.0,2563,1.2500581522798129,2025-12
Category A,2026-01-01,105755.0,2586,1.530224580313856,2026-01
Category A,2026-02-01,106410.5,2554,1.549496959680115,2026-02
Category A,2026-03-01,110055.0,2532,1.444399383061135,2026-03
Category A,2026-04-01,120505.0,2530,1.9553359683794467,2026-04
Category A,2026-05-01,124509.5,2540,1.7172337166604938,2026-05
Category A,2026-06-01,124928.0,2497,1.5397005028401036,2026-06
Category B,2010-01-01,20795.0,1404,1.413221026474941,2010-01
Category B,2010-02-01,23534.5,1378,1.3688058899737732,2010-02
Category B,2010-03-01,31239.0,1399,1.6387754309357931,2010-03
Category B,2010-04-01,42751.0,1132,1.5498874601583985,2010-04
Category B,2010-05-01,36300.0,1111,1.4272549019607843,2010-05
Category B,2010-06-01,39956.5,1110,1.350659532953922,2010-06
Category B,2010-07-01,39399.0,1109,1.408493352067234,2010-07
Category B,2010-08-01,43072.0,961,1.3995291885757846,2010-08
Category B,2010-09-01,43315.0,967,1.4541223176700093,2010-09
Category B,2010-10-01,43700.5,958,1.4572025052192066,2010-10
Category B,2010-11-01,46695.5,962,1.4833549446749654,2010-11
Category B,2010-12-01,67251.5,978,1.9530794365348652,2010-12
Category B,2011-01-01,63955.0,964,1.5458435023652415,2011-01
Category B,2011-02-01,57700.0,855,1.5985914722234382,2011-02
Category B,2011-03-01,59448.0,848,1.4693396226415094,2011-03
Category B,2011-04-01,55901.0,848,1.3787818105965792,2011-04
Category B,2011-05-01,56155.5,863,1.405413246228564,2011-05
Category B,2011-06-01,65350.0,847,1.7035578081091929,2011-06
Category B,2011-07-01,70501.0,881,1.5358674363467684,2011-07
Category B,2011-08-01,68205.5,707,1.4088883020438212,2011-08
Category B,2011-09-01,63945.5,712,1.3551137484513955,2011-09
Category B,2011-10-01,69744.5,709,1.6325556227520133,2011-10
Category B,2011-11-01,77170.0,709,1.5075874526530222,2011-11
Category B,2011-12-01,71176.5,722,1.2999263080324246,2011-12
Category B,2012-01-01,66845.0,709,1.4783198586752395,2012-01
Category B,2012-02-01,76039.5,701,1.7333536833536833,2012-02
Category B,2012-03-01,80653.5,706,1.6356012455059066,2012-03
Category B,2012-04-01,87350.0,701,1.4926698033342016,2012-04
Category B,2012-05-01,88633.0,703,1.4603184239068847,2012-05
Category B,2012-06-01,84200.0,699,1.3833810888252147,2012-06
Category B,2012-07-01,86395.0,711,1.4186818491145332,2012-07
Category B,2012-08-01,91252.0,701,1.4564061864061864,2012-08
Category B,2012-09-01,84345.5,706,1.4013522731832593,2012-09
Category B,2012-10-01,82901.0,703,1.3563010926750303,2012-10
Category B,2012-11-01,92702.0,701,1.5123036223036224,2012-11
Category B,2012-12-01,91850.5,710,1.3681746031746032,2012-12
Category B,2013-01-01,95855.5,714,1.2912575639848367,2013-01
Category B,2013-02-01,92784.0,605,1.3884936506895724,2013-02
Category B,2013-03-01,65995.0,633,3.1076317419715833,2013-03
Category B,2013-04-01,64505.0,612,2.484063234351634,2013-04
Category B,2013-05-01,64502.0,649,2.075961575006651,2013-05
Category B,2013-06-01,78375.5,607,2.4151992183259146,2013-06
Category B,2013-07-01,76749.5,634,1.9320889792906784,2013-07
Category B,2013-08-01,77103.5,755,1.7333684210526314,2013-08
Category B,2013-09-01,81669.5,758,1.7499460445428405,2013-09
Category B,2013-10-01,90705.0,758,1.5371156845271248,2013-10
Category B,2013-11-01,81939.0,755,1.3480814573626003,2013-11
Category B,2013-12-01,74355.0,750,1.3990549064506723,2013-12
Category B,2014-01-01,78850.0,779,1.4039901646692772,2014-01
Category B,2014-02-01,76952.0,715,1.4573748043818466,2014-02
Category B,2014-03-01,81805.0,703,1.4550667745851882,2014-03
Category B,2014-04-01,79757.0,714,1.4126933672388218,2014-04
Category B,2014-05-01,69052.5,967,1.5450524442619304,2014-05
Category B,2014-06-01,66502.0,984,1.5474138643311575,2014-06
Category B,2014-07-01,64945.0,991,1.6769430663831797,2014-07
Category B,2014-08-01,70839.5,1013,2.1984684768965703,2014-08
Category B,2014-09-01,72500.0,1020,1.660552328151973,2014-09
Category B,2014-10-01,72091.0,1012,1.654215244009608,2014-10
Category B,2014-11-01,71890.0,1144,1.5142123601687145,2014-11
Category B,2014-12-01,74194.5,1163,1.399417689923581,2014-12
Category B,2015-01-01,76089.0,1147,1.5236928998832457,2015-01
Category B,2015-02-01,68820.5,1446,1.3804368620008876,2015-02
Category B,2015-03-01,70278.5,1446,1.7932226832641769,2015-03
Category B,2015-04-01,77306.5,1450,2.1976671182003593,2015-04
Category B,2015-05-01,76301.0,1882,1.6120503889626758,2015-05
Category B,2015-06-01,73254.5,1857,1.3612662855870235,2015-06
Category B,2015-07-01,61805.0,1864,1.3106202942598604,2015-07
Category B,2015-08-01,61464.5,2115,1.505929056984403,2015-08
Category B,2015-09-01,61051.0,2117,1.4165702744144617,2015-09
Category B,2015-10-01,59039.5,2130,1.286478727446985,2015-10
Category B,2015-11-01,59302.0,2066,1.2853380227969406,2015-11
Category B,2015-12-01,57501.0,2058,1.2263209540278626,2015-12
Category B,2016-01-01,52504.5,2053,1.2645083714370857,2016-01
Category B,2016-02-01,42790.0,2424,1.867266469153015,2016-02
